frequency_Hz,intensity_normalized
99999647562701.17,0.0485283652130007
99999650752178.98,0.04937482916526439
99999653941656.81,0.050243238017669827
99999657131134.62,0.05113434237297328
99999660320612.44,0.052048924538432004
99999663510090.27,0.0529878000945572
99999666699568.08,0.053951819552008624
99999669889045.89,0.05494187014633863
99999673078523.72,0.05595887769398868
99999676268001.53,0.057003808554604234
99999679457479.34,0.05807767175437321
99999682646957.16,0.05918152118279082
99999685836434.98,0.06031645795088336
99999689025912.8,0.06148363285617035
99999692215390.61,0.06268424905222061
99999695404868.44,0.06391956482757717
99999698594346.25,0.06519089655089425
99999701783824.06,0.06649962185166668
99999704973301.89,0.06784718293975484
99999708162779.7,0.06923509012690814
99999711352257.52,0.07066492562759043
99999714541735.34,0.07213834753514237
99999717731213.16,0.07365709404383365
99999720920690.97,0.07522298800325487
99999724110168.8,0.07683794169331092
99999727299646.61,0.078503961898865
99999730489124.42,0.08022315538104893
99999733678602.25,0.08199773462503072
99999736868080.06,0.08383002395309469
99999740057557.88,0.08572246611223214
99999743247035.7,0.08767762920672022
99999746436513.52,0.08969821407580232
99999749625991.33,0.09178706223964152
99999752815469.14,0.09394716426286051
99999756004946.97,0.09618166872389984
99999759194424.78,0.09849389170322899
99999762383902.6,0.10088732700329481
99999765573380.42,0.10336565693419311
99999768762858.23,0.10593276379721572
99999771952336.05,0.1085927422291792
99999775141813.88,0.11134991223603606
99999778331291.69,0.11420883306339218
99999781520769.5,0.1171743180860387
99999784710247.33,0.1202514505255099
99999787899725.14,0.12344560015827302
99999791089202.95,0.12676244121532854
99999794278680.78,0.13020797125560274
99999797468158.6,0.1337885311875708
99999800657636.4,0.1375108266548186
99999803847114.23,0.14138195052912692
99999807036592.05,0.1454094066890837
99999810226069.86,0.14960113530499183
99999813415547.67,0.1539655392920929
99999816605025.5,0.1585115122487404
99999819794503.31,0.1632484676260331
99999822983981.12,0.1681863694558175
99999826173458.95,0.1733357641616509
99999829362936.77,0.17870781353962842
99999832552414.58,0.18431432902280073
99999835741892.4,0.1901678065859003
99999838931370.22,0.1962814622338925
99999842120848.03,0.20266926801785692
99999845310325.86,0.20934598762168188
99999848499803.67,0.2163272111829854
99999851689281.48,0.22362938895961587
99999854878759.31,0.23126986236158212
99999858068237.12,0.23926689149897726
99999861257714.94,0.24763967825175626
99999864447192.77,0.2564083825154677
99999867636670.58,0.26559412988009257
99999870826148.39,0.2752190087016442
99999874015626.2,0.285306052771394
99999877205104.03,0.29587920671312656
99999880394581.84,0.3069632692957234
99999883584059.66,0.31858381045965506
99999886773537.48,0.33076705516712457
99999889963015.3,0.3435397275672794
99999893152493.11,0.35692884805128433
99999896341970.94,0.3709614729031232
99999899531448.75,0.3856643665219458
99999902720926.56,0.40106359510875356
99999905910404.39,0.417184027523716
99999909099882.2,0.4340487296643589
99999912289360.02,0.45167823809499197
99999915478837.84,0.47008969603921286
99999918668315.66,0.4892958371822989
99999921857793.47,0.5093038043058224
99999925047271.3,0.530113789975086
99999928236749.11,0.5517174934441262
99999931426226.92,0.5740963952424084
99999934615704.75,0.5972198580795756
99999937805182.56,0.6210430789488708
99999940994660.38,0.6455049351891798
